id,year,date_start,date_end,type_of_violence,number_of_sources,where_prec,event_clarity,date_prec,latitude,longitude,region,region_enc,country_id,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,total_deaths,lethality_ratio,conflict_duration_days,active_year,pre_return,pre_volatility,event_return,post_return,post_volatility,market_reaction,volatility_change,n_indices_tracked,market_direction_5d,severity_class
142521,2014,2014-05-28,2014-05-28,1,1,2,1,1,15.354722,44.206667,Middle East,4,678,0,2,0,0,2,2,2,2,2.0,0,True,0.0012242194817697,0.0058233351219757,0.0028756436284836,0.0004767427727083,0.0054976500625843,-0.0007474767090614,-0.0003256850593913,14,1,1
218220,2016,2016-01-09,2016-01-09,1,1,1,1,1,48.41955,38.032433,Europe,3,369,0,1,0,0,1,1,1,1,1.0,0,True,-0.0068077663533633,0.0173130109870169,,-0.0072008319845324,0.017829864438018,-0.0003930656311691,0.000516853451001,14,0,0
95539,2003,2003-05-21,2003-05-21,3,2,3,1,1,33.83333,75.16667,Asia,2,750,0,0,0,0,0,1,0,0,0.0,0,True,-0.0008241669135706,0.0136627402827392,-0.0032435860951838,0.0069054150512643,0.0107029718659812,0.0077295819648349,-0.0029597684167579,12,1,0
21487,1989,1989-08-12,1989-08-12,3,-1,1,1,1,-14.43333,18.88333,Africa,0,540,0,0,9,0,9,9,9,9,-9.0,0,True,0.0018220244097134,0.007200555392614,,-0.0010357986330921,0.0067737715798863,-0.0028578230428055,-0.0004267838127277,6,0,2
204648,2015,2015-06-03,2015-06-03,1,1,2,1,1,12.779444,45.036667,Middle East,4,678,20,0,0,0,20,20,20,20,20.0,0,True,0.0010240442025567,0.0141296347310283,7.762472984090829e-05,-0.0016199689153584,0.0098159112192653,-0.0026440131179152,-0.004313723511763,14,0,2
229387,1990,1990-03-01,1990-03-01,1,1,2,1,1,-11.65709,-75.10119,Americas,1,135,0,13,0,0,13,13,13,13,13.0,0,True,-0.0011669572006648,0.0139239300497899,-0.0041363142478475,0.0027520159608632,0.0069095293915072,0.003918973161528,-0.0070144006582826,6,1,2
245850,2017,2017-06-01,2017-06-01,1,1,1,1,1,36.335,43.118889,Middle East,4,645,0,0,7,0,7,7,7,7,7.0,0,True,9.754491222934068e-05,0.0060280904094544,0.0016663924334311,0.0009592718547315,0.0059742654003198,0.0008617269425022,-5.382500913464049e-05,14,1,2
132875,2008,2008-03-10,2008-03-10,1,-1,4,1,1,35.0,69.58333,Asia,2,700,1,0,0,0,1,1,1,1,-1.0,0,True,-0.0030501910386968,0.0168213830403245,-0.0177543574373853,-0.008759904464724,0.0223194678033574,-0.0057097134260271,0.0054980847630328,13,0,0
339319,2020,2020-04-21,2020-04-22,1,2,2,1,2,2.034337,45.02443,Africa,0,520,7,0,0,0,7,7,7,7,3.5,1,True,0.0081025075405176,0.0209338112926461,-0.0247929879038573,0.0074084005212345,0.0116149166168354,-0.0006941070192831,-0.0093188946758107,14,1,2
76104,2000,2000-09-21,2000-09-27,1,-1,1,2,3,9.6364,80.2937,Asia,2,780,29,0,0,0,29,150,29,29,-29.0,6,True,-0.0049034132321684,0.0162487827061237,-0.0109670493971427,-0.000779686601355,0.0196359557215685,0.0041237266308134,0.0033871730154447,12,0,2
201060,1995,1995-08-14,1995-08-14,1,-1,4,1,1,45.53997,18.62977,Europe,3,344,0,0,1,0,1,1,1,1,-1.0,0,True,-0.0007950724736373,0.0069074557444639,0.0004268716906406,0.0033705734701953,0.0100241713047991,0.0041656459438326,0.0031167155603352,7,1,0
239592,2017,2017-07-20,2017-07-20,1,1,3,1,1,6.545914,101.64923,Asia,2,800,1,0,0,0,1,1,1,1,1.0,0,True,0.0013247346925781,0.0066780579249943,0.0018956584372897,0.0003319705853906,0.0048540362282565,-0.0009927641071875,-0.0018240216967378,14,1,0
120019,2005,2005-04-14,2005-04-14,1,1,3,1,1,8.65445,-73.0531,Americas,1,100,5,0,0,0,5,5,5,5,5.0,0,True,0.0018967082647215,0.0088440234514627,-0.0081480008432541,-0.0051224320086437,0.012145436908506,-0.0070191402733653,0.0033014134570432,12,0,2
407367,2017,2017-03-21,2017-03-21,3,1,2,1,1,32.773706,35.885239,Middle East,4,652,0,0,1,0,1,1,1,1,1.0,0,True,0.0012724773945334,0.0055220278514237,-0.0026075583994618,7.24286310780285e-05,0.0062277853658895,-0.0012000487634553,0.0007057575144657,14,1,0
210457,2015,2015-07-20,2015-07-20,1,1,2,1,1,32.71099,36.02743,Middle East,4,652,0,0,2,0,2,2,2,2,2.0,0,True,0.0024338365976117,0.0190025271260266,0.0013073287281857,-0.0074974299852417,0.0161050594198937,-0.0099312665828535,-0.0028974677061329,14,0,1
105635,2003,2003-11-30,2003-11-30,3,-1,3,1,1,28.0,83.83333,Asia,2,790,0,0,1,0,1,1,1,1,-1.0,0,True,3.6283753133251975e-05,0.0129425139225974,,0.0026979776363042,0.0098149221614938,0.0026616938831709,-0.0031275917611036,12,1,0
18984,1993,1993-12-19,1993-12-19,3,-1,1,1,1,-29.857896,31.029198,Africa,0,560,0,0,1,0,1,1,1,1,-1.0,0,True,0.0026790010999418,0.0120376857448054,,0.0020156738542893,0.0113400372193114,-0.0006633272456524,-0.0006976485254939,7,1,0
300148,2019,2019-08-03,2019-08-04,1,1,4,2,2,31.0,65.75,Asia,2,700,0,13,0,0,13,13,13,13,13.0,1,True,-0.0027930687481804,0.008195008081716,,-0.0030485939624,0.0126206867530714,-0.0002555252142195,0.0044256786713554,14,0,2
