feature,eta_squared,mean_cluster_0,median_cluster_0,mean_cluster_1,median_cluster_1,mean_diff_c1_minus_c0,cohen_d_abs
lethality_ratio,0.9200884699241523,2.207204509819508,1.0,40000.0,40000.0,39997.79279549018,
deaths_civilians,0.7751500071142515,6.301530153015301,0.0,40000.0,40000.0,39993.69846984698,
best,0.7580148220425544,12.271227122712272,2.0,40000.0,40000.0,39987.728772877286,
total_deaths,0.7580148220425544,12.271227122712272,2.0,40000.0,40000.0,39987.728772877286,
high,0.7207929900695625,15.743874387438744,2.0,50000.0,50000.0,49984.25612561256,
date_prec,0.001721228626464938,1.2218221822182218,1.0,4.0,4.0,2.778177817781778,
event_clarity,0.001343135756577101,1.0692069206920691,1.0,2.0,2.0,0.9307930793079309,
where_prec,0.0005862191680466867,2.0343034303430345,2.0,5.0,5.0,2.9656965696569655,
n_indices_tracked,0.0005274834107559704,12.503350335033504,14.0,7.0,7.0,-5.503350335033504,
type_of_violence,0.0004030516279318876,1.4587458745874586,1.0,3.0,3.0,1.5412541254125414,
latitude,0.0003473635864800504,25.545520558155815,33.2816,-2.5077,-2.5077,-28.053220558155815,
year,0.00032084142382433174,2009.4396439643965,2013.0,1994.0,1994.0,-15.43964396439651,
id,0.0002611298609821324,233708.4803480348,237647.0,445207.0,445207.0,211498.5196519652,
region_enc,0.0002458492110075667,2.3403340334033405,2.0,0.0,0.0,-2.3403340334033405,
severity_class,0.00020328280173785793,0.8442844284428442,1.0,2.0,2.0,1.1557155715571557,
market_direction_5d,0.00013788248472801611,0.5796579657965797,1.0,0.0,0.0,-0.5796579657965797,
conflict_duration_days,0.00010152822290416917,2.6956695669566955,0.0,27.0,27.0,24.304330433043305,
market_reaction,5.140985365791094e-05,9.471634361409283e-06,-0.0002780991835941,-0.0034127480960144,-0.0034127480960144,-0.0034222197303758095,
event_return,4.7723990268897336e-05,0.000329506680614617,0.0006559543592666,-0.0044412203347402,-0.0044412203347402,-0.004770727015354817,
pre_return,2.6492773338130658e-05,0.0003508230072964852,0.0006146403826737,0.001762938352874,0.001762938352874,0.0014121153455775148,
post_return,2.5812243201027072e-05,0.00036029464165789673,0.0006047123305656,-0.0016498097431404,-0.0016498097431404,-0.002010104384798297,
volatility_change,1.4386387636646019e-05,-0.0002990526265573459,-0.0003080110578419,0.0012150198446443,0.0012150198446443,0.0015140724712016458,
country_id,1.0240251550367381e-05,579.7936793679368,652.0,517.0,517.0,-62.79367936793676,
number_of_sources,5.7476585193199794e-06,0.6421642164216421,1.0,1.0,1.0,0.3578357835783579,
post_volatility,3.214969998952777e-06,0.011089264663618979,0.0097180022485996,0.0120367364979283,0.0120367364979283,0.0009474718343093214,
pre_volatility,1.1633682642705654e-06,0.011387747883442833,0.0100373173908886,0.0108217166532839,0.0108217166532839,-0.0005660312301589334,
longitude,8.394211035729354e-07,34.105047359935995,37.161173,29.8675,29.8675,-4.237547359935995,
deaths_unknown,4.976450465702606e-07,1.9158915891589159,0.0,0.0,0.0,-1.9158915891589159,
deaths_b,4.6038513580180477e-07,2.4068406840684067,0.0,0.0,0.0,-2.4068406840684067,
deaths_a,2.8143770161599866e-07,1.646964696469647,0.0,0.0,0.0,-1.646964696469647,
low,2.6134873071893795e-07,10.23982398239824,2.0,0.0,0.0,-10.23982398239824,
