Index,Date,Open,High,Low,Close,Adj Close,Volume,price_for_return,return_1d,abs_return_1d,volatility_20,return_z_20,intraday_range,open_close_return,volume_z_20,conflict_count,total_deaths_sum,total_deaths_max,total_deaths_mean,log_deaths_sum,death_uncertainty_sum,conflict_duration_mean,is_conflict_day,is_high_intensity_conflict_day,is_conflict_window_3d,is_high_intensity_conflict_window_3d,dbscan_cluster,is_market_anomaly
000001.SS,1997-09-22,1184.493042,1185.099976,1102.616943,1103.973999,1103.973999,0.0,1103.973999,-0.06799963636946793,0.06799963636946793,0.020070038723258535,-3.22367770844223,0.07471465186201362,-0.06212519020591047,0.0,28.0,634.0,280.0,22.642857142857142,60.21432214362832,219.0,0.5,1,1,1,1,-1,1
000001.SS,1997-09-23,1096.187012,1105.281982,1025.130005,1041.964966,1041.964966,0.0,1041.964966,-0.05616892522484129,0.05616892522484129,0.023059470386364772,-2.1527013495466267,0.07692386943458902,-0.049464229557939776,0.0,8.0,65.0,20.0,8.125,15.153202737244948,0.0,0.0,1,0,1,1,-1,1
000001.SS,1997-09-24,1064.661011,1110.107056,1064.661011,1110.011963,1110.011963,0.0,1110.011963,0.0653064154942038,0.0653064154942038,0.028067886179820832,2.4496695055904083,0.04094194163202919,0.04259661200272883,0.0,13.0,104.0,20.0,8.0,24.275645625469124,9.0,0.7692307692307693,1,0,1,1,-1,1
000001.SS,1997-10-27,1183.646973,1235.944946,1183.646973,1235.827026,1235.827026,0.0,1235.827026,0.048816686442655355,0.048816686442655355,0.016223473202422505,2.669616568155048,0.0423181981780031,0.044084135042180395,0.0,18.0,114.0,32.0,6.333333333333333,24.941027453891447,218.0,0.1111111111111111,1,0,1,0,-1,1
000001.SS,1997-10-28,1239.584961,1241.833008,1172.891968,1177.92395,1177.92395,0.0,1177.92395,-0.04685370588424065,0.04685370588424065,0.020000601316973586,-2.4850267972330524,0.05852758151322091,-0.04974327128836465,0.0,8.0,31.0,11.0,3.875,10.6735957742322,0.0,1.125,1,0,1,0,-1,1
000001.SS,1998-01-13,1211.883057,1211.883057,1110.087036,1167.646973,1167.646973,0.0,1167.646973,-0.04834605995934005,0.04834605995934005,0.01519344455912392,-3.2285387820032345,0.08718047779326545,-0.036501941127476394,0.0,4.0,20.0,16.0,5.0,5.318119993844217,1.0,0.0,1,0,1,0,-1,1
000001.SS,1998-08-17,1152.672974,1152.672974,1068.656006,1070.410034,1070.410034,0.0,1070.410034,-0.07477158476717398,0.08357345377279835,0.02228821578166401,-3.3302666818573425,0.07849045256614265,-0.06212519020591047,0.0,33.0,550.0,250.0,16.666666666666668,49.745395365843116,10.0,3.0606060606060606,1,0,1,0,-1,1
000001.SS,1998-08-18,1054.182007,1094.379028,1043.021973,1071.300049,1071.300049,0.0,1071.300049,0.000831471092132885,0.000831471092132885,0.021360835660695097,0.5021666986160256,0.047939001821141684,0.01623822251407468,0.0,13.0,172.0,133.0,13.23076923076923,19.085961641152274,11.0,0.3076923076923077,1,0,1,0,-1,1
000001.SS,1998-08-31,1117.969971,1150.229004,1072.421997,1150.223022,1150.223022,0.0,1150.223022,0.018146920362037244,0.018146920362037244,0.02714530633864442,0.8831023857213086,0.06764514838584071,0.028849657715895764,0.0,29.0,288.0,120.0,9.931034482758621,43.11034770953039,62.0,4.862068965517241,1,0,1,0,-1,1
000001.SS,1999-06-14,1382.531982,1427.767944,1382.531982,1427.707031,1427.707031,0.0,1427.707031,0.04643903753173029,0.04643903753173029,0.020389458827709678,1.5453266978082563,0.03168434490955447,0.03267559057451153,0.0,32.0,242.0,30.0,7.5625,58.37154706042989,6.0,0.59375,1,0,1,0,-1,1
