rel_day,aar,std,t_stat,p_value,n_events_used,caar
-5,0.00013166097125865184,0.007064505648421832,0.5423966306001557,0.5876881436386299,847,0.00013166097125865184
-4,0.0002418194694628542,0.007202541590404883,0.9771184065734183,0.3287898552047621,847,0.00037348044072150604
-3,0.0002459002648169661,0.0072507199377820275,0.9870054959709215,0.323922138628125,847,0.0006193807055384722
-2,0.0001094915874768702,0.007166683058267272,0.44463562800035855,0.6566968209528592,847,0.0007288722930153423
-1,2.459903064805385e-05,0.00698628237085164,0.10247397048464858,0.918404756320933,847,0.0007534713236633961
0,2.8500834306764376e-05,0.006988911783455771,0.11868332907458436,0.905554418789273,847,0.0007819721579701605
1,-7.190005170461238e-05,0.007279029537747775,-0.2874732415691563,0.773820388623748,847,0.0007100721062655482
2,0.00016076507859768218,0.007655491433463915,0.6111676347456093,0.5412527830142504,847,0.0008708371848632304
3,5.251784616080434e-05,0.006939814097458062,0.2202423209342804,0.8257355735336616,847,0.0009233550310240347
4,0.00038990360663072806,0.006778025199679349,1.67415544033231,0.09446967416291985,847,0.0013132586376547628
5,8.750248990222696e-05,0.006676193618598002,0.381446112360856,0.702968029139027,847,0.0014007611275569899
