rel_day,aar,std,t_stat,p_value,n_events_used,caar
-5,0.0013097701188851823,0.007363286255083192,1.6399584942877243,0.10475364211197813,85,0.0013097701188851823
-4,0.0011223951894925438,0.007752766050357835,1.334745854700538,0.185566100408179,85,0.002432165308377726
-3,0.0008454413536246213,0.007480556205840708,1.0419792233751517,0.3004109888780544,85,0.0032776066620023477
-2,0.0006519413996818438,0.006704063886879109,0.8965610739002935,0.37251547073543856,85,0.003929548061684191
-1,0.00024980682589778185,0.005139995444660631,0.4480753265048636,0.6552523986009025,85,0.004179354887581973
0,-0.0003925355332216142,0.006751259752166325,-0.5360479277134297,0.59334209446458,85,0.0037868193543603586
1,-0.0011607157084516698,0.007382300619922892,-1.4495847063540679,0.15089773108299465,85,0.002626103645908689
2,-0.001255912459679213,0.006563657651912851,-1.7640988257676886,0.08135096780091944,85,0.0013701911862294758
3,-0.0007872892645890165,0.007408875126521971,-0.9796964116245367,0.3300492391251837,85,0.0005829019216404593
4,0.00028893900236163887,0.007369971910080039,0.36145130676489295,0.7186696716968481,85,0.0008718409240020982
5,0.00045268015774109006,0.006231637260597182,0.6697284621519172,0.5048677568116011,85,0.0013245210817431881
